track_name,album_name,danceability,energy,loudness,acousticness,instrumentalness,tempo,speechiness,liveness,valence
Let Me Love You Like A Woman,Chemtrails Over The Country Club,0.303,0.249,-11.715,0.97,1.95e-5,66.932,0.111,0.117,0.131
Wild At Heart,Chemtrails Over The Country Club,0.397,0.206,-12.487,0.947,1.35e-5,120.702,0.0389,0.119,0.27
Dark But Just A Game,Chemtrails Over The Country Club,0.397,0.262,-14.608,0.842,6.6e-6,80.434,0.0916,0.0999,0.124
Not All Who Wander Are Lost,Chemtrails Over The Country Club,0.445,0.116,-14.87,0.947,1.69e-5,167.992,0.0368,0.11,0.139
Yosemite,Chemtrails Over The Country Club,0.584,0.283,-12.893,0.901,0.0332,106.068,0.0309,0.127,0.278
Breaking Up Slowly,Chemtrails Over The Country Club,0.37,0.314,-9.677,0.912,2.09e-6,97.4,0.0445,0.0989,0.221
Dance Till We Die,Chemtrails Over The Country Club,0.359,0.236,-13.46,0.904,7.43e-6,126.227,0.0432,0.116,0.244
For Free,Chemtrails Over The Country Club,0.502,0.105,-13.381,0.98,1.79e-5,114.043,0.0331,0.0725,0.203
Text Book,Blue Banisters,0.424,0.318,-9.915,0.824,5.42e-4,119.396,0.0427,0.114,0.102
Blue Banisters,Blue Banisters,0.373,0.114,-13.171,0.937,4.73e-5,90.945,0.041,0.104,0.172
Arcadia,Blue Banisters,0.323,0.106,-10.374,0.97,5.94e-5,91.455,0.0323,0.108,0.158
Interlude - The Trio,Blue Banisters,0.376,0.493,-14.03,6.89e-4,0.901,102.845,0.0372,0.153,0.119
Black Bathing Suit,Blue Banisters,0.418,0.377,-11.612,0.852,4.61e-5,113.936,0.0738,0.374,0.283
If You Lie Down With Me,Blue Banisters,0.641,0.346,-9.508,0.913,3.99e-5,122.101,0.036,0.104,0.187
Beautiful,Blue Banisters,0.552,0.202,-10.685,0.96,0.00154,78.021,0.043,0.225,0.237
Violets for Roses,Blue Banisters,0.513,0.21,-10.472,0.922,0,88.021,0.0301,0.123,0.14
Dealer,Blue Banisters,0.602,0.59,-6.346,0.318,1.66e-4,130.08,0.0279,0.104,0.381
Thunder,Blue Banisters,0.483,0.475,-8.442,0.674,0.00167,73.862,0.0291,0.115,0.237
Wildflower Wildfire,Blue Banisters,0.547,0.205,-10.021,0.873,0.0502,105.745,0.0277,0.113,0.222
Nectar Of The Gods,Blue Banisters,0.447,0.165,-9.275,0.888,1.4e-6,101.758,0.0342,0.177,0.122
Living Legend,Blue Banisters,0.402,0.219,-9.244,0.935,0.0034,126.595,0.0318,0.102,0.166
Cherry Blossom,Blue Banisters,0.413,0.119,-12.499,0.982,0.00219,111.11,0.0348,0.112,0.216
Sweet Carolina,Blue Banisters,0.45,0.148,-11.802,0.976,4.09e-4,79.727,0.0569,0.107,0.0758
